sample_idx	step	score	original_index	original_step	performance	correctness	score_msg	length	output_file
0	52	2.7318075277688236				1.0			sample_0.py
1	52	2.71500583726255				1.0			sample_1.py
2	56	2.704464259152583				1.0			sample_2.py
3	55	2.7034786741491748				1.0			sample_3.py
4	56	2.7028619524069253				1.0			sample_4.py
5	54	2.702407629004833				1.0			sample_5.py
6	52	2.6923065187381843				1.0			sample_6.py
7	50	2.6921895811186336				1.0			sample_7.py
8	55	2.6904015083467017				1.0			sample_8.py
9	52	2.6903658000699493				1.0			sample_9.py
10	55	2.6895061923190573				1.0			sample_10.py
11	56	2.68906984536235				1.0			sample_11.py
12	52	2.6889219775676683				1.0			sample_12.py
13	55	2.684525802677689				1.0			sample_13.py
14	54	2.684324991584641				1.0			sample_14.py
15	56	2.6834939628094574				1.0			sample_15.py
16	56	2.683222987278661				1.0			sample_16.py
17	53	2.6828054704907496				1.0			sample_17.py
18	56	2.682471550600891				1.0			sample_18.py
19	54	2.6814257104750254				1.0			sample_19.py
