sample_idx	step	score	original_index	original_step	performance	correctness	score_msg	length	output_file
0	38	1.4009864065090951				1.0			sample_0.py
1	42	1.3228389287509252				1.0			sample_1.py
2	11	1.3184708269870937				1.0			sample_2.py
3	3	1.3179005422633572				1.0			sample_3.py
4	15	1.3160459872090857				1.0			sample_4.py
5	34	1.3155375597813155				1.0			sample_5.py
6	42	1.315483450691997				1.0			sample_6.py
7	9	1.3153986618186333				1.0			sample_7.py
8	15	1.3141233036639335				1.0			sample_8.py
9	6	1.3132297125051249				1.0			sample_9.py
10	20	1.310016552495813				1.0			sample_10.py
11	38	1.3089563769344084				1.0			sample_11.py
12	22	1.3084699615859388				1.0			sample_12.py
13	7	1.3084628136340386				1.0			sample_13.py
14	4	1.3083856178763853				1.0			sample_14.py
15	16	1.307765757182424				1.0			sample_15.py
16	45	1.307095340492672				1.0			sample_16.py
17	32	1.3067920954759729				1.0			sample_17.py
18	13	1.3056967811701812				1.0			sample_18.py
19	16	1.3053202329074192				1.0			sample_19.py
875	1	0.04555724141645992				1.0			sample_875.py
126	17	1.2846443971562085				1.0			sample_126.py
1020	22	0.03175098375713442				1.0			sample_1020.py
81	46	1.291140830734213				1.0			sample_81.py
674	42	0.04727368260222588				1.0			sample_674.py
449	13	0.8570919507786492				1.0			sample_449.py
803	47	0.04596207455964058				1.0			sample_803.py
894	38	0.0453345969798152				1.0			sample_894.py
465	31	0.8073143107118123				1.0			sample_465.py
459	35	0.8332123092454155				1.0			sample_459.py
447	41	0.8604589183067681				1.0			sample_447.py
383	45	0.8950994735979669				1.0			sample_383.py
528	26	0.3488688590097441				1.0			sample_528.py
770	45	0.04613361996828046				1.0			sample_770.py
546	48	0.11689423883860492				1.0			sample_546.py
364	41	0.8976803580475908				1.0			sample_364.py
26	24	1.3034187718545314				1.0			sample_26.py
438	26	0.8743573036639418				1.0			sample_438.py
686	29	0.04696585515325737				1.0			sample_686.py
334	49	0.9106524849338616				1.0			sample_334.py
