step_range	sample_id	runtime_1	runtime_2	runtime_3	avg_runtime	std_runtime
45:49	0	1803.0496666666666	1720.5690000000002	1807.563	1777.0605555555555	48.975140951907925
45:49	1	N/A	1747.604833333334	N/A	1747.604833333334	N/A
45:49	2	1736.8703333333337	N/A	1724.4062499999998	1730.6382916666666	8.813437846274681
45:49	3	1741.0506666666663	1761.7225000000003	1727.5724999999995	1743.4485555555555	17.200814758103945
45:49	4	1759.7036666666665	1756.4660000000001	1756.0633333333335	1757.411	1.9956892153949803
45:49	5	1783.660285714285	1797.351333333333	1768.019	1783.010206349206	14.67696825233728
45:49	6	1760.8066666666662	1760.906333333333	1744.881666666667	1755.5315555555553	9.223208951897544
45:49	7	1726.4666666666662	1747.590333333334	1696.8650000000007	1723.640666666667	25.480474239001925
45:49	8	1740.0786666666665	N/A	1742.7930000000006	1741.4358333333334	1.9193235064011747
45:49	9	1744.9159999999995	1789.8172500000003	1728.6356	1754.4562833333332	31.68692677968071
45:49	10	1759.8403999999994	1779.18	1755.534666666666	1764.8516888888885	12.594054524141436
45:49	11	1762.9683333333326	1795.7453333333342	1776.3280000000004	1778.3472222222224	16.481531362014366
45:49	12	1754.3020000000006	1773.7156666666665	1780.2299999999998	1769.415888888889	13.488193455896596
45:49	13	1759.1153333333325	1786.3253333333334	1769.4423333333339	1771.6276666666665	13.73600328819647
45:49	14	1767.6497499999998	1756.3774999999994	1728.2366666666667	1750.7546388888886	20.299266237137655
45:49	15	1770.1617499999995	1752.1793333333333	1724.040666666666	1748.7939166666663	23.246168855647632
45:49	16	1780.898666666666	1739.037333333333	1752.3102500000005	1757.4154166666665	21.39251860188355
45:49	17	1700.6143333333337	1735.6833333333327	1830.1633333333323	1755.4869999999996	67.00652774419257
45:49	18	1751.8010000000004	N/A	1765.6595000000002	1758.7302500000003	9.799439327073642
45:49	19	1711.3779999999995	1756.1206666666665	1773.6429999999993	1747.0472222222218	32.108847718577735
