step_range	sample_id	runtime_1	runtime_2	runtime_3	avg_runtime	std_runtime
20:24	0	1791.4925	1764.066333333333	1755.5709999999995	1770.3766111111108	18.773738167638555
20:24	1	1774.7883333333325	N/A	1821.4553333333336	1798.1218333333331	32.998552157633355
20:24	2	1784.3360000000007	1760.179333333333	1774.687666666667	1773.0676666666668	12.159540949851817
20:24	3	1867.265333333334	1828.435	1830.8347499999995	1842.1783611111111	21.759063203055383
20:24	4	1863.4726666666675	1853.122333333333	1846.5193333333332	1854.3714444444445	8.54541319678063
20:24	5	1858.9780000000003	1877.5672799999998	1837.932333333334	1858.1592044444446	19.83015554499525
20:24	6	1890.487	1824.0962499999998	1861.6460000000002	1858.7430833333333	33.290435792744475
20:24	7	1873.5239999999992	1843.7729999999995	N/A	1858.6484999999993	21.0371338470808
20:24	8	1856.1254666666662	1858.5870000000002	1858.7708	1857.8277555555555	1.4770870678219827
20:24	9	1810.347333333333	1819.1849999999995	1861.7829999999997	1830.438444444444	27.50249007379628
20:24	10	1837.4486666666662	1856.5330000000004	1812.1099999999992	1835.3638888888886	22.284758379597967
20:24	11	N/A	1760.2339999999992	1760.9919999999997	1760.6129999999994	0.5359869401397516
20:24	12	1856.9927999999993	1850.1453333333332	1841.3933333333334	1849.5104888888886	7.819086306761584
20:24	13	N/A	1785.7537692307692	1764.6026666666673	1775.1782179487182	14.95608805264859
20:24	14	1850.9082500000006	1858.614333333334	1844.0240000000006	1851.182194444445	7.299023281468953
20:24	15	1828.2630000000004	1828.5919999999999	1859.3327499999998	1838.72925	17.8439126717627
20:24	16	1855.1660000000004	1819.890333333333	1836.1126666666673	1837.0563333333337	17.656756349278574
20:24	17	1750.5920000000006	1761.6460000000006	1699.9750000000004	1737.4043333333339	32.88257858400619
20:24	18	1780.2886666666675	1759.0910000000003	N/A	1769.6898333333338	14.989013845332378
20:24	19	1876.3590000000002	1840.0676666666664	1816.2226666666668	1844.2164444444445	30.282072493168037
