sample_idx	step	score	original_index	original_step	performance	correctness	score_msg	length	output_file
0	14	2.499180685265347				1.0			sample_0.py
1	14	2.4982771256372325				1.0			sample_1.py
2	12	2.497001569303061				1.0			sample_2.py
3	14	2.4952661681707093				1.0			sample_3.py
4	14	2.4854687072033355				1.0			sample_4.py
5	11	2.4695709347701364				1.0			sample_5.py
6	13	2.460648842341615				1.0			sample_6.py
7	14	2.459432279409215				1.0			sample_7.py
8	13	2.4523460122891962				1.0			sample_8.py
9	14	2.4515728555969654				1.0			sample_9.py
10	14	2.432492258593387				1.0			sample_10.py
11	14	2.427991832235476				1.0			sample_11.py
12	13	2.4072995098657954				1.0			sample_12.py
13	14	2.403269138169422				1.0			sample_13.py
14	14	2.3690522180172424				1.0			sample_14.py
15	14	2.347598227031216				1.0			sample_15.py
16	14	2.2374955324672534				1.0			sample_16.py
17	12	1.411580569348789				1.0			sample_17.py
18	14	1.307250148765067				1.0			sample_18.py
19	14	1.3071492173574775				1.0			sample_19.py
