sample_idx	step	score	original_index	original_step	performance	correctness	score_msg	length	output_file
0	41	2.8668300122700328				1.0			sample_0.py
1	41	2.866747827482938				1.0			sample_1.py
2	41	2.839131004460417				1.0			sample_2.py
3	43	2.810656525518119				1.0			sample_3.py
4	40	2.7952808949818557				1.0			sample_4.py
5	43	2.788642120914779				1.0			sample_5.py
6	43	2.782895729164135				1.0			sample_6.py
7	43	2.7790043994418645				1.0			sample_7.py
8	43	2.7728482697426795				1.0			sample_8.py
9	43	2.7682227954288887				1.0			sample_9.py
10	40	2.7620186202037686				1.0			sample_10.py
11	40	2.7582696602105994				1.0			sample_11.py
12	40	2.7563483180831474				1.0			sample_12.py
13	41	2.7505423152598256				1.0			sample_13.py
14	41	2.7481449716092197				1.0			sample_14.py
15	40	2.7457415836156107				1.0			sample_15.py
16	43	2.7181481958118376				1.0			sample_16.py
17	40	2.7101034825913795				1.0			sample_17.py
18	42	2.6988518544440825				1.0			sample_18.py
19	41	2.6985304342960914				1.0			sample_19.py
