sample_idx	step	score	original_index	original_step	performance	correctness	score_msg	length	output_file
0	45	2.7163588911315952				1.0			sample_0.py
1	49	2.7108009151663888				1.0			sample_1.py
2	45	2.6986115104056663				1.0			sample_2.py
3	47	2.691265551477989				1.0			sample_3.py
4	45	2.6905057433329267				1.0			sample_4.py
5	45	2.689182173088673				1.0			sample_5.py
6	47	2.6885560536155437				1.0			sample_6.py
7	45	2.6873358625642694				1.0			sample_7.py
8	45	2.6860977786150446				1.0			sample_8.py
9	47	2.6858217083509177				1.0			sample_9.py
10	46	2.685407709340063				1.0			sample_10.py
11	49	2.6843912847478792				1.0			sample_11.py
12	49	2.6838994482439515				1.0			sample_12.py
13	45	2.6827507710225715				1.0			sample_13.py
14	45	2.6826399394653353				1.0			sample_14.py
15	47	2.6774172704837595				1.0			sample_15.py
16	47	2.6747951909322305				1.0			sample_16.py
17	45	2.67411091605948				1.0			sample_17.py
18	45	2.673320168479053				1.0			sample_18.py
19	45	2.672063522431706				1.0			sample_19.py
