sample_idx	step	score	original_index	original_step	performance	correctness	score_msg	length	output_file
0	38	2.8648358964701783				1.0			sample_0.py
1	38	2.8310711187713604				1.0			sample_1.py
2	38	2.8257495865928353				1.0			sample_2.py
3	38	2.824919405049374				1.0			sample_3.py
4	36	2.813974082735903				1.0			sample_4.py
5	38	2.813338902493987				1.0			sample_5.py
6	36	2.8025366319563165				1.0			sample_6.py
7	38	2.8017830547360343				1.0			sample_7.py
8	36	2.7987152777389066				1.0			sample_8.py
9	36	2.7971229911761957				1.0			sample_9.py
10	36	2.788780031442565				1.0			sample_10.py
11	38	2.787480273931261				1.0			sample_11.py
12	36	2.7853348037425247				1.0			sample_12.py
13	36	2.7837835329924743				1.0			sample_13.py
14	38	2.7832920462883735				1.0			sample_14.py
15	36	2.78277502332522				1.0			sample_15.py
16	36	2.781833588118381				1.0			sample_16.py
17	38	2.780341355483139				1.0			sample_17.py
18	36	2.7794382347676594				1.0			sample_18.py
19	36	2.779210100316515				1.0			sample_19.py
