sample_idx	step	score	original_index	original_step	performance	correctness	score_msg	length	output_file
0	24	2.8095897479193934				1.0			sample_0.py
1	24	2.7866191009363597				1.0			sample_1.py
2	21	2.7608475079009183				1.0			sample_2.py
3	21	2.7149011694527285				1.0			sample_3.py
4	21	2.7091808177716485				1.0			sample_4.py
5	23	2.7006637016079886				1.0			sample_5.py
6	23	2.698961115887273				1.0			sample_6.py
7	21	2.6894975122148015				1.0			sample_7.py
8	24	2.6862916388635485				1.0			sample_8.py
9	21	2.6809296892230554				1.0			sample_9.py
10	21	2.677693527622015				1.0			sample_10.py
11	23	2.676051161816532				1.0			sample_11.py
12	24	2.6642184275463134				1.0			sample_12.py
13	24	2.6589889247793304				1.0			sample_13.py
14	21	2.6560067540481085				1.0			sample_14.py
15	23	2.6552760281573966				1.0			sample_15.py
16	21	2.642518975928766				1.0			sample_16.py
17	23	2.6311625774307292				1.0			sample_17.py
18	22	2.6252654143333896				1.0			sample_18.py
19	21	2.6219673669941503				1.0			sample_19.py
