sample_idx	step	score	original_index	original_step	performance	correctness	score_msg	length	output_file
0	19	2.7034080242917433				1.0			sample_0.py
1	16	2.701284893172286				1.0			sample_1.py
2	19	2.694070028578695				1.0			sample_2.py
3	19	2.6866703002389882				1.0			sample_3.py
4	19	2.6808214036780873				1.0			sample_4.py
5	17	2.6731782913685924				1.0			sample_5.py
6	17	2.6607917960575223				1.0			sample_6.py
7	16	2.6418013280863635				1.0			sample_7.py
8	15	2.619208471707572				1.0			sample_8.py
9	16	2.6084771071571526				1.0			sample_9.py
10	17	2.588006721364016				1.0			sample_10.py
11	17	2.5828171081377556				1.0			sample_11.py
12	18	2.5759214199715306				1.0			sample_12.py
13	16	2.5756710696332674				1.0			sample_13.py
14	19	2.572852479143017				1.0			sample_14.py
15	16	2.567644596905475				1.0			sample_15.py
16	15	2.5642213511087437				1.0			sample_16.py
17	18	2.5528529919181784				1.0			sample_17.py
18	19	2.551832828410678				1.0			sample_18.py
19	18	2.546420827277803				1.0			sample_19.py
